iter	MultiClass
0	1.005875
1	0.9267048819
2	0.8573959685
3	0.7954715894
4	0.7405219887
5	0.6913307511
6	0.6471069105
7	0.6069126626
8	0.5700453673
9	0.5365241451
10	0.5057183224
11	0.4774836822
12	0.4514518186
13	0.4273278482
14	0.4050819731
15	0.3843607112
16	0.3652386219
17	0.3473297683
18	0.3306738767
19	0.3151690815
20	0.3005487879
21	0.2869953155
22	0.2742252737
23	0.2623172831
24	0.2511860536
25	0.2407701682
26	0.2309496145
27	0.2217271493
28	0.2130424458
29	0.2048873092
30	0.1973581453
31	0.1901475353
32	0.1833092017
33	0.1769809663
34	0.1708625167
35	0.165282811
36	0.1600635966
37	0.1549375309
38	0.1500776388
39	0.1456567966
40	0.1413185997
41	0.1372579011
42	0.1335428144
43	0.1300863888
44	0.1266614873
45	0.1235708837
46	0.120475231
47	0.1175637978
48	0.1148123311
49	0.1123074268
50	0.1098370103
51	0.1076570707
52	0.1054350117
53	0.1033819093
54	0.1015294409
55	0.09971004195
56	0.09788294031
57	0.09629349354
58	0.09464989597
59	0.09311928003
60	0.09173600711
61	0.09044183816
62	0.08910904959
63	0.08795663568
64	0.08678746354
65	0.08567637857
66	0.08457043133
67	0.08356363835
68	0.08259755307
69	0.08173609019
70	0.08088611677
71	0.08002726168
72	0.07926686671
73	0.07849256169
74	0.07774186069
75	0.07701789596
76	0.07637421241
77	0.075795261
78	0.07524220437
79	0.07471264927
80	0.07417475123
81	0.07365182593
82	0.07317603743
83	0.07265137254
84	0.07222899131
85	0.07185575209
86	0.07148454679
87	0.07114899625
88	0.07086327242
89	0.07051701355
90	0.07022444265
91	0.06994358451
92	0.06968070959
93	0.0694011439
94	0.06912267235
95	0.06890626351
96	0.06870724126
97	0.06847352047
98	0.06827064099
99	0.06805457975
100	0.06784206865
101	0.06767432608
102	0.06749264792
103	0.06732096382
104	0.06716232905
105	0.06695214502
106	0.06682872007
107	0.0666740171
108	0.066500588
109	0.06637056566
110	0.06619304296
111	0.06608696597
112	0.06595729588
113	0.06588266288
114	0.06577017254
115	0.06571377686
116	0.06566515289
117	0.06557967044
118	0.06550171922
119	0.06541833468
120	0.06531061428
121	0.06524007984
122	0.06520645353
123	0.06512003807
124	0.06507485141
125	0.06499930982
126	0.06496315145
127	0.06493100656
128	0.0648521746
129	0.064808811
130	0.06477448515
131	0.0646620697
132	0.06461163375
133	0.06457737109
134	0.06452548803
135	0.06442550893
136	0.06432825776
137	0.06426957821
138	0.06424768945
139	0.06421268524
140	0.06418246446
141	0.06414610114
142	0.06409733624
143	0.06401890159
144	0.06399270884
145	0.06396082213
146	0.06392112319
147	0.06389044859
148	0.06385444968
149	0.06383308583
150	0.06378919224
151	0.06372878679
152	0.06369873422
153	0.06367988898
154	0.06365953661
155	0.06362832492
156	0.06360014335
157	0.06355919052
158	0.06353213227
159	0.0634946503
160	0.06346385669
161	0.06342334265
162	0.06340014806
163	0.06336531744
164	0.06334961817
165	0.06332608107
166	0.06329114194
167	0.06327333248
168	0.06324381725
169	0.0631703688
170	0.06314119155
171	0.06312790632
172	0.06309679132
173	0.06308208225
174	0.06306168577
175	0.06303079379
176	0.06301457571
177	0.06298827814
178	0.06296902808
179	0.06293672639
180	0.06292645237
181	0.06288666794
182	0.06287194129
183	0.06285313562
184	0.06282482882
185	0.06278096673
186	0.06275822998
187	0.06274147652
188	0.06272271663
189	0.0627010059
190	0.06268700093
191	0.06267283959
192	0.06265121669
193	0.06262677315
194	0.06261322929
195	0.06258356924
196	0.06256787753
197	0.06255299361
198	0.06253674251
199	0.06251923834
200	0.06249961041
201	0.06247828249
202	0.06246539725
203	0.0624343678
204	0.06240951394
205	0.06239623989
206	0.06236386537
207	0.06234270467
208	0.06232814639
209	0.06229393328
210	0.06226304429
211	0.0622471335
212	0.06223782137
213	0.06222510709
214	0.06221022981
215	0.06219192116
216	0.06216997206
217	0.06215228737
218	0.06214026252
219	0.06212825084
220	0.06210965079
221	0.06208714872
222	0.06206363936
223	0.06204650549
224	0.06203425222
225	0.06201829969
226	0.06200734681
227	0.06199514797
228	0.0619715244
229	0.06195903546
230	0.06194677676
231	0.06193323769
232	0.06191464984
233	0.06189330617
234	0.06188076962
235	0.0618657726
236	0.06184260494
237	0.06182600362
238	0.06181173325
239	0.06179345072
240	0.06175515463
241	0.06174019846
242	0.06172906702
243	0.06170428512
244	0.06169812411
245	0.06168333567
246	0.06166392324
247	0.06165499483
248	0.06163454183
249	0.06162284011
250	0.06161389512
251	0.06160018325
252	0.06159277588
253	0.06158270769
254	0.06157476688
255	0.06156660532
256	0.06155703462
257	0.06154233843
258	0.06152688025
259	0.06151067843
260	0.06150377691
261	0.0614733696
262	0.06146522244
263	0.06144233959
264	0.06143489911
265	0.0614204358
266	0.06140837514
267	0.06140055352
268	0.06138192309
269	0.06137371918
270	0.06135830728
271	0.0613375457
272	0.0613218502
273	0.06130862194
274	0.06130192157
275	0.06129294128
276	0.06126121991
277	0.06125084063
278	0.06124620721
279	0.06124130266
280	0.06122832135
281	0.06121890483
282	0.06120850158
283	0.06119954037
284	0.06118146932
285	0.06117491776
286	0.06116416315
287	0.06114426861
288	0.06113792045
289	0.06112283391
290	0.06111602436
291	0.06110051547
292	0.06109048991
293	0.06106727576
294	0.06106028453
295	0.06105098426
296	0.06104177098
297	0.0610177179
298	0.06099915807
299	0.0609831936
300	0.06096910272
301	0.06094880734
302	0.0609242689
303	0.06091557297
304	0.06089356119
305	0.06087938636
306	0.06086539565
307	0.06085356947
308	0.06084623259
309	0.06083937327
310	0.06081712656
311	0.06080450292
312	0.06079780729
313	0.06078935083
314	0.06077745126
315	0.0607621376
316	0.0607518347
317	0.06074222953
318	0.06072899907
319	0.06071535604
320	0.06070940146
321	0.06070035716
322	0.06068197837
323	0.06066578599
324	0.06065247937
325	0.06064039907
326	0.06062824351
327	0.06062500974
328	0.06061997416
329	0.06060929982
330	0.0605954146
331	0.06058423276
332	0.06056843964
333	0.06055294513
334	0.06054405355
335	0.06051813151
336	0.06051172953
337	0.06049734688
338	0.06048705632
339	0.06047860274
340	0.0604709193
341	0.06045884673
342	0.0604504811
343	0.06043449604
344	0.06042729439
345	0.06042058453
346	0.0604091114
347	0.06039663149
348	0.06038791356
349	0.06037632784
350	0.06035015281
351	0.06034497304
352	0.06033638748
353	0.06032773264
354	0.06031886636
355	0.06031136718
356	0.06029833203
357	0.06029181588
358	0.06028533245
359	0.06027808228
360	0.06026073697
361	0.06025660336
362	0.06024539463
363	0.06024034251
364	0.06023363394
365	0.06022253675
366	0.06020912322
367	0.06020059668
368	0.06018984608
369	0.06018049337
370	0.06017582268
371	0.06016126679
372	0.0601551004
373	0.0601435598
374	0.06013706257
375	0.06012759883
376	0.06012324523
377	0.06009260852
378	0.06008491463
379	0.06006928075
380	0.06004127192
381	0.05999903347
382	0.05998958985
383	0.05998437232
384	0.05997789344
385	0.05996116701
386	0.05995234077
387	0.05994354552
388	0.05993256384
389	0.05992463667
390	0.05991536667
391	0.0599081519
392	0.05989773617
393	0.05989119034
394	0.05987924619
395	0.05987098972
396	0.05984880284
397	0.059830416
398	0.05981699839
399	0.05980126286
400	0.05977927502
401	0.05977034124
402	0.05976206673
403	0.05975639112
404	0.0597495489
405	0.05973729369
406	0.05973147925
407	0.05972398501
408	0.05971719102
409	0.05970378137
410	0.05969849376
411	0.05969275602
412	0.0596889253
413	0.05967846029
414	0.05967232994
415	0.05966452897
416	0.05965164426
417	0.05962862097
418	0.05961831477
419	0.05961008913
420	0.05960209458
421	0.05958977081
422	0.05958296475
423	0.05957704363
424	0.05957070565
425	0.05955980699
426	0.0595537332
427	0.05954576315
428	0.05953586606
429	0.05953287726
430	0.05950805144
431	0.05950025056
432	0.05948890911
433	0.05948506119
434	0.05947594998
435	0.05947120398
436	0.05943794083
437	0.05942830001
438	0.05942297804
439	0.05941573907
440	0.0594083248
441	0.05939953527
442	0.0593921218
443	0.05938956963
444	0.05938367586
445	0.05937729366
446	0.05937358525
447	0.05936934488
448	0.05936469433
449	0.05935851746
450	0.05934036802
451	0.05933328183
452	0.05932183393
453	0.05931475856
454	0.0593043654
455	0.05930051866
456	0.0592940003
457	0.05928699674
458	0.05928373874
459	0.05926248141
460	0.05925675312
461	0.05925174715
462	0.05924616973
463	0.05924396286
464	0.05923359432
465	0.05922561094
466	0.05922139625
467	0.05921057376
468	0.05920300993
469	0.05919479354
470	0.05918598662
471	0.0591767436
472	0.05917281988
473	0.05915935785
474	0.05914288161
475	0.05913586113
476	0.05912799668
477	0.05911709467
478	0.05909236336
479	0.05908230635
480	0.05907466593
481	0.05906984044
482	0.05906357594
483	0.05905626092
484	0.05905271726
485	0.05904529579
486	0.05903932038
487	0.05903091424
488	0.05902635596
489	0.05901417676
490	0.05900850613
491	0.0589997668
492	0.05899587949
493	0.05898601256
494	0.05898035647
495	0.05897516824
496	0.05895926238
497	0.0589539124
498	0.0589477605
499	0.05893400917
500	0.0589230083
501	0.05891803781
502	0.05890950621
503	0.05890465874
504	0.05889434395
505	0.0588861218
506	0.05887045529
507	0.05886429289
508	0.05885976674
509	0.05885496681
510	0.05884884723
511	0.0588438656
512	0.0588373788
513	0.05883230298
514	0.05882914948
515	0.05882381256
516	0.05881859081
517	0.05881582448
518	0.0588115607
519	0.05880908669
520	0.05880264985
521	0.05879850011
522	0.05878773877
523	0.05877615199
524	0.0587670208
525	0.05876363923
526	0.05875408915
527	0.05874474366
528	0.05874140273
529	0.05873624051
530	0.05873231314
531	0.05872779856
532	0.05872271636
533	0.05871598182
534	0.05870513176
535	0.0586971513
536	0.05869248116
537	0.0586894002
538	0.05868483441
539	0.05867159585
540	0.05866689707
541	0.05865629537
542	0.05863677496
543	0.05863003846
544	0.05861457896
545	0.05860663991
546	0.05860059676
547	0.05859273664
548	0.05858372842
549	0.05857083168
550	0.05856096042
551	0.05855342459
552	0.05854610582
553	0.05853523759
554	0.0585231403
555	0.05851883722
556	0.05850920581
557	0.05850574001
558	0.05850116504
559	0.05849743231
560	0.05848647494
561	0.05847754722
562	0.05847423737
563	0.05846721933
564	0.05845899912
565	0.05845461072
566	0.05844834573
567	0.058438067
568	0.0584324071
569	0.05842878506
570	0.05841369329
571	0.05839997822
572	0.05838915203
573	0.05838165975
574	0.05837621302
575	0.05837263889
576	0.05836599545
577	0.05836223186
578	0.0583569676
579	0.05835182196
580	0.05834872458
581	0.05834379876
582	0.0583350621
583	0.05832714536
584	0.05830349795
585	0.0582986013
586	0.05829288472
587	0.05828074284
588	0.05826807773
589	0.05825841083
590	0.05824849755
591	0.05824634341
592	0.05822325931
593	0.05821775811
594	0.05820773732
595	0.05820064351
596	0.05818789491
597	0.05817769559
598	0.05816533625
599	0.05815464647
600	0.05815072649
601	0.05813079133
602	0.05812278901
603	0.0581194793
604	0.05811089696
605	0.05810652217
606	0.05810092744
607	0.05808271158
608	0.05807706715
609	0.05807362552
610	0.05806952013
611	0.05806251977
612	0.05805731098
613	0.05804861468
614	0.05804162663
615	0.05803607008
616	0.05803060068
617	0.05802402998
618	0.05801923799
619	0.05800671774
620	0.05800214692
621	0.0579964437
622	0.0579925579
623	0.05798385268
624	0.05797340543
625	0.05796923472
626	0.05796609044
627	0.05795970939
628	0.05795553347
629	0.05794783326
630	0.05794243534
631	0.05793534433
632	0.05792456141
633	0.05791665715
634	0.05791233226
635	0.05790484379
636	0.05789628414
637	0.05789230984
638	0.05788711209
639	0.05787850402
640	0.05787239833
641	0.05786820974
642	0.05786208464
643	0.05785509638
644	0.05784302027
645	0.05783374935
646	0.05782810462
647	0.05782266597
648	0.05781844971
649	0.05781329636
650	0.0578077383
651	0.05780130131
652	0.05778049044
653	0.05777341935
654	0.05776850461
655	0.0577570551
656	0.05775424698
657	0.05774721947
658	0.05773322139
659	0.05772818173
660	0.05772397367
661	0.05771552283
662	0.05771077886
663	0.05770589952
664	0.05770115033
665	0.05769738965
666	0.05768842776
667	0.05768009426
668	0.05767814715
669	0.05767570926
670	0.05766998503
671	0.05766152387
672	0.05765432533
673	0.05764920466
674	0.05764348576
675	0.05762931874
676	0.05762238798
677	0.0576177671
678	0.05761294662
679	0.05760704857
680	0.05759758942
681	0.05759194667
682	0.0575856302
683	0.05758242665
684	0.05757701118
685	0.05757054744
686	0.05756731301
687	0.05755879027
688	0.05755111304
689	0.05754144939
690	0.05753244339
691	0.05752427939
692	0.05751820351
693	0.05751294374
694	0.0575053778
695	0.05750089039
696	0.05749666519
697	0.05748913457
698	0.05748649179
699	0.05748129054
700	0.0574769222
701	0.05747360637
702	0.05746832191
703	0.05746421833
704	0.05745305633
705	0.05745102745
706	0.05744584136
707	0.05743541706
708	0.05742874557
709	0.05742460582
710	0.05740841458
711	0.05740001858
712	0.05739457273
713	0.05738791228
714	0.05738149785
715	0.05737846278
716	0.05737594718
717	0.05737302322
718	0.05736561728
719	0.05735997673
720	0.0573573608
721	0.05735192097
722	0.05733806037
723	0.05733263068
724	0.05732716805
725	0.05731987746
726	0.05731401773
727	0.05730850558
728	0.05729567657
729	0.05729240193
730	0.05729014095
731	0.05728452659
732	0.05728049311
733	0.05727266017
734	0.05726570066
735	0.05725890781
736	0.05724563011
737	0.05724193868
738	0.05723456141
739	0.05722998539
740	0.05722781536
741	0.05722066935
742	0.05721661753
743	0.05721413352
744	0.05720608279
745	0.05719798757
746	0.05719354305
747	0.05718860896
748	0.05717922087
749	0.05717713315
750	0.05716826924
751	0.05716270173
752	0.05715918642
753	0.05715497969
754	0.05714564752
755	0.05713803187
756	0.05713500048
757	0.05713166598
758	0.05712757584
759	0.05712613881
760	0.05712352108
761	0.05711534949
762	0.05711134944
763	0.0571074721
764	0.05710458488
765	0.05708709075
766	0.05707757233
767	0.0570722642
768	0.0570621841
769	0.05705315666
770	0.05705107498
771	0.05704835639
772	0.05704547018
773	0.05703043628
774	0.05702050582
775	0.05701398913
776	0.05700926917
777	0.05700753368
778	0.05699981541
779	0.05698100953
780	0.05697474977
781	0.0569723686
782	0.05696437472
783	0.05696008717
784	0.0569515295
785	0.05694509338
786	0.05694083431
787	0.05693570741
788	0.05693364974
789	0.05692953984
790	0.05692420022
791	0.05692005594
792	0.05691667046
793	0.05691005654
794	0.05690023614
795	0.05689397001
796	0.05688873146
797	0.05687754095
798	0.05686993563
799	0.05686635444
800	0.05686203628
801	0.05685377946
802	0.05684714512
803	0.05683252785
804	0.05682640644
805	0.05682422608
806	0.05682135786
807	0.0568192319
808	0.05681664349
809	0.05679776824
810	0.05679154251
811	0.0567808945
812	0.05677409547
813	0.05677005683
814	0.05676598049
815	0.05676020707
816	0.05675353875
817	0.05674947797
818	0.05674504526
819	0.05673952653
820	0.05673509347
821	0.05673002066
822	0.05672484197
823	0.05671903751
824	0.05671407354
825	0.05671016196
826	0.0567077616
827	0.05670528808
828	0.05670084948
829	0.05669557241
830	0.05669248454
831	0.05668908647
832	0.05668456936
833	0.05667990991
834	0.05667561337
835	0.05667088102
836	0.05666877996
837	0.05666436229
838	0.05666168878
839	0.05665785376
840	0.05665129903
841	0.05664667173
842	0.05664253247
843	0.0566322795
844	0.05662662761
845	0.05662196334
846	0.056612501
847	0.05660243472
848	0.05659261954
849	0.056588963
850	0.05658032917
851	0.05657292999
852	0.05656825335
853	0.05656127854
854	0.05655574866
855	0.05655036571
856	0.05654363626
857	0.05653825115
858	0.05653178067
859	0.0565290128
860	0.05651723226
861	0.05651268464
862	0.05651021965
863	0.0565052363
864	0.05649888026
865	0.05649443391
866	0.0564883977
867	0.05647927726
868	0.05647644249
869	0.05647145801
870	0.05646365174
871	0.05645891766
872	0.05645409834
873	0.05645098063
874	0.05644624833
875	0.05643965693
876	0.05643750174
877	0.05642938542
878	0.05642587257
879	0.05642109985
880	0.05640813731
881	0.05640156337
882	0.05639547048
883	0.05638966527
884	0.05638560123
885	0.05637846481
886	0.05636218551
887	0.05635479423
888	0.05635012697
889	0.05634779657
890	0.05634484402
891	0.05634076278
892	0.05633505414
893	0.05633118274
894	0.05632433724
895	0.05631745338
896	0.05631188231
897	0.05630407916
898	0.05629520439
899	0.05628946182
900	0.05628397254
901	0.05627869839
902	0.05627345015
903	0.05626901111
904	0.05626200034
905	0.05625475955
906	0.05625212525
907	0.05624759289
908	0.05624362588
909	0.05624003114
910	0.0562362503
911	0.05623222679
912	0.05623094599
913	0.0562266107
914	0.05622459083
915	0.05622070636
916	0.05621637332
917	0.05621291012
918	0.05620520576
919	0.05620081041
920	0.05619900153
921	0.05619627192
922	0.05618727878
923	0.05618097589
924	0.05617309712
925	0.05616883186
926	0.05616581645
927	0.05615892446
928	0.0561421045
929	0.05613696833
930	0.05613544218
931	0.05613134452
932	0.05612845622
933	0.05612609821
934	0.0561216106
935	0.05611147149
936	0.05610910071
937	0.05610461606
938	0.05609927793
939	0.05609097476
940	0.05608558861
941	0.05608059943
942	0.05607685933
943	0.05607200505
944	0.05606601107
945	0.05605783006
946	0.05605462083
947	0.05604863324
948	0.05604494872
949	0.05603932532
950	0.05603500563
951	0.05603070361
952	0.05602835514
953	0.05602149679
954	0.05601788403
955	0.05601398373
956	0.05600916999
957	0.05600395912
958	0.056000459
959	0.05599835286
960	0.05599680492
961	0.0559904348
962	0.05598819324
963	0.05598207468
964	0.05598071688
965	0.05597342996
966	0.05597092873
967	0.05596758955
968	0.0559631495
969	0.05596098346
970	0.05595929742
971	0.05595273328
972	0.0559382971
973	0.05593484713
974	0.05593132178
975	0.05592742019
976	0.05592477325
